symbol,date,total_revenue,gross_income,interest_expense_non_operating,operating_income,pretax_income,income_taxes,net_income,diluted_shares_outstanding,cash_and_short_term_investments,cash_only,total_assets,total_current_liabilities,total_liabilities,total_equity,net_operating_cash_flow,free_cash_flow,total_cash_and_due_from_banks,total_debt,stackholders_equity,ebit,total_non_current_assets,ebitda
CBRE.JK,2023-12-31,42728170000.0,15126570000.0,-1929560000.0,3079280000.0,1417180000.0,512740000.0,904450000.0,4521840000.0,173585480000.0,173585480000.0,352965590000.0,30040780000.0,184282700000.0,168682890000.0,3980970000.0,-49425550000.0,,172383110000.0,,3346740000.0,162575290000.0,
CBRE.JK,2022-12-31,32958540000.0,14878550000.0,-837180000.0,9504870000.0,7894290000.0,395500000.0,7498790000.0,2190680000.0,2526390000.0,2526390000.0,129927330000.0,14934700000.0,38602050000.0,91325280000.0,6086260000.0,13159970000.0,,28155990000.0,,8731470000.0,122968570000.0,
CBRE.JK,2021-12-31,,,,,,750390000.0,,,1640860000.0,1640860000.0,,85830390000.0,,1329540000.0,,,,,,,,
CBRE.JK,2020-12-31,,,,,,,,,,,,,,,,,,,,,,
LAJU.JK,2023-12-31,166785010000.0,,,,,,,,,,,,,,,,,,,,,
LAJU.JK,2022-12-31,147917870000.0,36883770000.0,-7759160000.0,23861820000.0,15551040000.0,3327210000.0,12223820000.0,746630000.0,14795630000.0,14795630000.0,120237190000.0,36611560000.0,64278270000.0,,20277560000.0,13605870000.0,,47278990000.0,,23310200000.0,83222040000.0,
LAJU.JK,2021-12-31,117975500000.0,27351270000.0,-7067890000.0,17536830000.0,10762540000.0,2415000000.0,8347540000.000001,12000000.0,1000930000.0,1000930000.0,104970060000.0,24336340000.0,61578520000.0,43391540000.0,20272020000.0,16731630000.000002,,48041580000.0,,17830430000.0,90140700000.0,
LAJU.JK,2020-12-31,,,,,,,,,,,,,,,,,,,,,,
ATAP.JK,2023-12-31,23653460000.0,8944550000.0,-1798960000.0,2928060000.0,1123970000.0,961140000.0,162820000.0,1250000000.0,10962350000.0,10962350000.0,113772660000.0,19277050000.0,34182350000.0,79590310000.0,-3434170000.0,-3176580000.0,,,,2922930000.0,12953350000.0,
ATAP.JK,2022-12-31,42519110000.0,13754870000.0,-2125250000.0,5458550000.0,3655040000.0,1502680000.0,2152360000.0,1250000000.0,14573820000.0,14573820000.0,115428410000.0,20465090000.0,35810130000.0,79618280000.0,-5648190000.0,-7560490000.0,,,,5780290000.0,13592770000.0,
ATAP.JK,2021-12-31,55019320000.0,16167550000.0,-1644010000.0,9761750000.0,7765350000.0,2241630000.0,5523720000.0,1250000000.0,3503600000.0,3503600000.0,92377900000.0,12338440000.0,14085530000.0,78292370000.0,8509650000.0,10386090000.0,,,,9409360000.0,12289820000.0,
ATAP.JK,2020-12-31,40309470000.0,13077700000.0,,6128900000.0,3391110000.0,,3391110000.0,585620000.0,8096840000.0,3150740000.0,100138040000.0,26601790000.0,26911310000.0,73226730000.0,-19546370000.0,,,,,,10327940000.0,
CASH.JK,2023-12-31,194879030000.0,15714260000.0,-2309110000.0,-37164130000.0,-37988720000.0,-7563410000.0,-28310030000.0,1431130000.0,20872800000.0,9656800000.0,229841870000.0,72653330000.0,74943100000.0,154898770000.0,-17963280000.0,-16494259999.999998,,550650000.0,132970240000.0,-35679610000.0,174669290000.0,
CASH.JK,2022-12-31,128979800000.0,29419730000.0,-617420000.0,-8627400000.0,-9247870000.0,560740000.0,-10036900000.0,1431130000.0,20736350000.0,9520350000.0,225487310000.0,38128300000.0,40939100000.0,184548210000.0,-4418630000.0,-17667940000.0,,788690000.0,160677510000.0,-8630450000.0,176584770000.0,
CASH.JK,2021-12-31,194050510000.0,36618190000.0,-175220000.0,-8973040000.0,-7812410000.0,259540000.00000003,-9557280000.0,1431120000.0,35950590000.0,14425590000.0,154983790000.0,48150580000.0,49824140000.0,105159650000.0,-37771630000.0,-33403460000.0,,,97602740000.0,-7637190000.0,68281540000.0,
CASH.JK,2020-12-31,84320420000.0,32011110000.0,,-9164430000.0,-9137900000.0,-2007820000.0,-6708410000.0,1282690000.0,74130890000.0,43430890000.0,199871880000.0,82653660000.0,93014410000.0,106857470000.0,17955170000.0,,,2332770000.0,100855170000.0,,71932580000.0,
