symbols,href,id,currency,fold
cbre,/equities/cakra-buana-resources-energi-pt-tbk,1198683,IDR,Millions
laju,/equities/pt-jasa-berdikari-logistics-tbk,1199667,IDR,Millions
atap,/equities/trimitra-prawara-goldland-tbk-pt,1168052,IDR,Millions
cash,/equities/cashlez-worldwide-indonesia-tbk,1161015,IDR,Millions
cbpe,/equities/pt-citra-buana-prasida-tbk,1198668,IDR,Millions
aims,/equities/akbar-indo-mak,101288,IDR,Millions
bapi,/equities/bhakti-agung-propertindo,1152820,IDR,Millions
lmas,/equities/limas-centric,101241,IDR,Millions
alto,/equities/tri-banyan-tir,101614,IDR,Millions
hope,/equities/harapan-duta-pertiwi-pt,1173515,IDR,Millions
true,/equities/triniti-dinamik,1174267,IDR,Millions
plan,/equities/planet-properindo-jaya-pt,1166256,IDR,Millions
fitt,/equities/hotel-fitra-international-tbk-pt,1137430,IDR,Millions
mari,/equities/mahaka-radio-integra-tbk-pt,963746,IDR,Millions
tama,/equities/lancartama-sejati-tbk,1156770,IDR,Millions
swat,/equities/sriwahana,1079915,IDR,Millions
mgna,/equities/magna-finance,943659,IDR,Millions
ranc,/equities/supra-boga-les,101594,IDR,Millions
lckm,/equities/lck-global-kedaton,1057991,IDR,Millions
asjt,/equities/as-jasa-tania,943651,IDR,Millions
sapx,/equities/satria-antaran-prima,1096530,IDR,Millions
lead,/equities/logindo-samudr,101487,USD,Millions
satu,/equities/kota-satu,1097709,IDR,Millions
cbmf,/equities/cahaya-bintang-medan-tbk-pt,1159432,IDR,Millions
sbat,/equities/sejahtera-bintang-abadi-textile-tbk,1159435,IDR,Millions
sbma,/equities/surya-biru-murni-acetylene-tbk-pt,1177102,IDR,Millions
east,/equities/eastparc-hotel-tbk-pt,1141611,IDR,Millions
scnp,/equities/selaras-citra-nusantara-perkasa-tbk,1165984,IDR,Millions
mtra,/equities/mitra-pemuda-tbk-pt,963747,IDR,Millions
kbag,/equities/karya-bersama-anugerah-pt,1159436,IDR,Millions
apii,/equities/arita-prima-in,101296,IDR,Millions
kblm,/equities/kabelindo-murn,101238,IDR,Millions
mdki,/equities/emdeki-utama,1050170,IDR,Millions
lion,/equities/lion-metal-wor,102975,IDR,Millions
puri,/equities/puri-global-sukses-tbk-pt,1165982,IDR,Millions
ahap,/equities/ahap-tbk,101207,IDR,Millions
akku,/equities/anugerah-kagum-karya-utama-tbk-pt,998092,IDR,Millions
pras,/equities/prima-alloy-st,101550,IDR,Millions
kdsi,/equities/kedawung-setia,101471,IDR,Millions
agar,/equities/asia-sejahtera-mina-tbk,1155848,IDR,Millions
ekad,/equities/ekadharma-inte,101395,IDR,Millions
sini,/equities/singaraja-putra,1155108,IDR,Millions
mmix,/equities/multi-medika-internasional-pt-tbk,1198057,IDR,Millions
kici,/equities/kedaung-indah,101239,IDR,Millions
ocap,/equities/onix-capital,101249,IDR,Millions
defi,/equities/danasupra-erapacific-tbk-pt,945182,IDR,Millions
vins,/equities/victoria-insurance-tbk-pt,959126,IDR,Millions
rock,/equities/rockfields-property-indonesia-pt,1166029,IDR,Millions
pngo,/equities/pinago-utama-tbk-pt,1165603,IDR,Millions
ikan,/equities/era-mandiri-cemerlang-tbk-pt,1156771,IDR,Millions
poly,/equities/asia-pacific-f,101303,USD,Millions
fwct,/equities/wijaya-cahaya-timber-pt,1199875,IDR,Millions
ghon,/equities/gihon-telekom,1073263,IDR,Millions
reli,/equities/reliance-secur,101261,IDR,Millions
kjen,/equities/krida-jaringan-nusantara-tbk-pt,1141288,IDR,Millions
cint,/equities/chitose-intern,102979,IDR,Millions
jmas,/equities/asuransi-jiwa-syariah,1056518,IDR,Millions
nasi,/equities/wahana-inti-makmurtbk-pt,1180977,IDR,Millions
scpi,/equities/organon-pharma-ord,1185694,IDR,Millions
awan,/equities/pt-era-digital-media-tbk,1202166,IDR,Millions
glva,/equities/galva-technologies-tbk-pt,1156094,IDR,Millions
kopi,/equities/mitra-energi-persada-tbk-pt,951639,IDR,Millions
lmsh,/equities/lionmesh-prima,101242,IDR,Millions
blue,/equities/berkah-prima-perkasa-tbk-pt,1141290,IDR,Millions
sofa,/equities/pt-boston-furniture-ind-tbk,1163263,IDR,Millions
cpri,/equities/capri-nusa-satu-properti-tbk-pt,1128658,USD,Millions
smkl,"/equities/""satyamitra-kemas-lestari-tbk-pt-""",1141608,IDR,Millions
enzo,/equities/morenzo-abadi-perkasa-tbk-pt,1166257,IDR,Millions
obmd,/equities/obm-drilchem-pt,1180944,IDR,Millions
kpas,/equities/cottonindo-ariesta,1096524,USD,Millions
smkm,/equities/sumber-mas-konstruksi-tbk-pt,1186155,IDR,Millions
esta,/equities/esta-multi-usaha-pt,1158985,IDR,Millions
gpso,/equities/geoprima-solusi-tbk-pt,1177036,IDR,Millions
esti,/equities/ever-shine-tex,101230,USD,Millions
soss,/equities/shield-on-service,1097763,IDR,Millions
bike,/equities/sepeda-bersama-indonesia-tbk-pt,1187098,IDR,Millions
crab,/equities/toba-surimi-industries-tbk-pt,1193353,IDR,Millions
pdpp,/equities/pt-primadaya-plastisindo-tbk,1196806,IDR,Millions
peve,/equities/penta-valent-pt,1199638,IDR,Millions
futr,/equities/pt-lini-imaji-kreasi-ecosystem-tbk,1200498,IDR,Millions
kuas,/equities/ace-oldfields-pt,1179331,IDR,Millions
pnse,/equities/pudjiadi---son,101260,IDR,Millions
hais,/equities/hasnur-internasional-shipping,1176963,IDR,Millions
csis,/equities/pt-cahayasakti-investindo-sukses,1010638,IDR,Millions
halo,/equities/haloni-jane-pt-tbk,1200222,IDR,Millions
amin,/equities/ateliers-mecaniques-d-indonesie-tbk,962000,IDR,Millions
pskt,/equities/red-planet-indonesia-tbk,950067,IDR,Millions
trja,/equities/transkon-jaya-pt,1165552,IDR,Millions
tron,/equities/teknologi-karya-digital-nusa-pt-tbk,1200671,IDR,Millions
bton,/equities/betonjaya-manu,101350,IDR,Millions
cani,/equities/capitol-nusant,101368,USD,Millions
pure,/equities/trinitan-metals-and-minerals,1153149,USD,Millions
apli,/equities/asiaplast-indu,101304,IDR,Millions
aspi,/equities/andalan-sakti-primaindo-pt,1156865,IDR,Millions
tmpo,/equities/tempo-inti-med,101601,IDR,Millions
tnca,/equities/pt-trimuda-nuansa,1084863,IDR,Millions
inci,/equities/intanwijaya-in,101452,IDR,Millions
hdit,/equities/hensel-davest-indonesia-tbk-pt,1141607,IDR,Millions
psdn,/equities/prasidha-aneka,101258,IDR,Millions
pdes,/equities/destinasi-tirt,101225,IDR,Millions
lpin,/equities/multi-prima-se,101519,IDR,Millions
tris,/equities/trisula-intern,101616,IDR,Millions
dpns,/equities/dt-pertiwi-nus,101391,IDR,Millions
rony,/equities/aesler-grup-internasional-tbk-pt,1159434,IDR,Millions
hade,/equities/hd-capital,943655,IDR,Millions
dsfi,/equities/dharma-samuder,101389,IDR,Millions
alka,/equities/alakasa-industrindo-tbk,953124,IDR,Millions
hkmu,/equities/hk-metals-utama,1096523,IDR,Millions
pudp,/equities/pudjiadi-prest,101551,IDR,Millions
pura,/equities/putra-rajawali-kencana-pt,1156644,IDR,Millions
boba,/equities/formosa-ingredient-factory-pt-tbk,1179151,IDR,Millions
ertx,/equities/eratex-djaja-t,101229,USD,Millions
lrna,/equities/eka-sari-loren,102133,IDR,Millions
beer,/equities/jobubu-jarum-minahasa-pt-tbk,1198667,IDR,Millions
mami,/equities/mas-murni-sb,943649,USD,Millions
intd,/equities/inter-delta-tbk-pt,946578,IDR,Millions
tira,/equities/tira-austenite-tbk-pt,946577,IDR,Millions
luck,/equities/sentral-mitra-informatika,1114548,IDR,Millions
lucy,/equities/lima-dua-lima-tiga-pt,1173015,IDR,Millions
daya,/equities/duta-intidaya-tbk-pt,985737,IDR,Millions
