symbol,date,total_revenue,gross_income,interest_expense_non_operating,operating_income,pretax_income,income_taxes,net_income,diluted_shares_outstanding,cash_and_short_term_investments,cash_only,total_assets,total_current_liabilities,total_liabilities,total_equity,net_operating_cash_flow,free_cash_flow,total_cash_and_due_from_banks,total_debt,stackholders_equity,ebit,total_non_current_assets,ebitda
CBRE.JK,2024-03-31,15098280000.0,7803310000.0,-3555720000.0,5681560000.0,2125850000.0,181180000.0,1944670000.0,4522480000.0,8571709999.999999,8571709999.999999,358154110000.0,35194240000.0,187526540000.0,170627560000.0,884300000.0,-173152000000.0,,170384050000.0,,5681570000.0,325916780000.0,
CBRE.JK,2023-12-31,9207690000.0,-3009170000.0,-442230000.0,-5824970000.0,-7129790000.0,110490000.0,-7240290000.0,4473340000.0,173585480000.0,173585480000.0,352965590000.0,30040780000.0,184282700000.0,168682890000.0,-5963440000.0,-20272440000.0,,172383110000.0,,-6687560000.0,162575290000.0,
CBRE.JK,2023-09-30,9790480000.0,4455230000.0,-438400000.0,1808810000.0,1402250000.0,117490000.0,1284770000.0,4538000000.0,52216620000.0,52216620000.0,208619370000.0,12527560000.0,32592360000.0,176027010000.0,2140570000.0000002,-2634060000.0,,24757750000.0,,1840650000.0,139836590000.0,
CBRE.JK,2023-06-30,10995000000.0,5803210000.0,-1009160000.0,2636220000.0,2725280000.0,131940000.0,2593340000.0,4538000000.0,53830680000.0,53830680000.0,208123020000.0,12097790000.0,33380780000.0,174742250000.0,6114250000.0,-687790000.0,,25909940000.0,,3734440000.0,140755820000.0,
LAJU.JK,2024-03-31,43101980000.0,8153470000.0,-1080130000.0,4015200000.0,3251980000.0,649110000.0,2602870000.0,2149940000.0,47785970000.0,47785970000.0,190794500000.0,32172620000.0,59207070000.0,131587440000.0,2736320000.0,-11553890000.0,,36057630000.0,,4332110000.0,109414970000.0,
LAJU.JK,2023-12-31,,,,,,,,,,,,,,,,,,,,,,
LAJU.JK,2023-09-30,,,,,,,,,,,,,,,,,,,,,,
LAJU.JK,2023-06-30,,,,,,,,2149840000.0,,,,,,,,,,,,,,
ATAP.JK,2024-03-31,5546420000.0,2408570000.0,-813970000.0,1006790000.0,208150000.0,77910000.0,130229999.99999999,1302330000.0,9800620000.0,9800620000.0,112854720000.0,19188870000.0,33134170000.0,79720540000.0,-191980000.0,-369170000.0,,,,1022120000.0,12805390000.0,
ATAP.JK,2023-12-31,3921060000.0,1649910000.0,,-216550000.0,-3770000.0,171870000.0,-175640000.0,1250000000.0,10962350000.0,10962350000.0,113772660000.0,19277050000.0,34182350000.0,79590310000.0,-2042590000.0,-2179400000.0,,,,,12953350000.0,
ATAP.JK,2023-09-30,5436460000.0,2005080000.0,-191290000.0,553080000.0,358220000.0,312820000.0,45400000.0,1250000000.0,12274310000.0,12274310000.0,111776650000.0,17902890000.0,31969900000.0,79806740000.0,545820000.0,671780000.0,,,,549510000.0,13182190000.0,
ATAP.JK,2023-06-30,6192590000.0,2508960000.0,-784360000.0,1197210000.0,356650000.0,176040000.0,180610000.0,1250000000.0,14483370000.0,14483370000.0,114981180000.0,20433090000.0,35069830000.0,79911350000.0,-452580000.0,-401240000.0,,,,1141010000.0,13293040000.0,
CASH.JK,2023-12-31,46616260000.0,-349230000.0,-900550000.0,-14723410000.0,-15155660000.0,-2885990000.0,-11113090000.0,1431130000.0,20872800000.0,9656800000.0,229841870000.0,72653330000.0,74943100000.0,154898770000.0,-9365990000.0,-7333930000.0,,550650000.0,132970240000.0,-14255110000.0,174669290000.0,
CASH.JK,2023-09-30,46616260000.0,-349230000.0,-900550000.0,-14723410000.0,-15155660000.0,-2885990000.0,-11113090000.0,1431130000.0,20872800000.0,9656800000.0,229841870000.0,72653330000.0,74943100000.0,154898770000.0,-9365990000.0,-8127700000.0,,550650000.0,132970240000.0,-14255110000.0,174669290000.0,
CASH.JK,2023-06-30,71998680000.0,7532080000.0,-164860000.0,-705080000.0,-776560000.0,-520010000.0,-912150000.0,1547490000.0,29775810000.0,18559810000.0,278682940000.0,97760550000.0,100020710000.0,178662230000.0,-5768580000.0,10801800000.0,,,154593650000.0,-611700000.0,175762150000.0,
CASH.JK,2023-03-31,29647820000.0,8880640000.0,-343150000.0,-7012230000.0,-6900840000.0,-1271410000.0,-5171700000.0,1314760000.0,7574660000.0,7574660000.0,264313150000.00003,79995530000.0,85394370000.0,178918780000.0,6537280000.0,-11834420000.0,,,155505810000.00003,-6557690000.0,184130850000.00003,
